date,cases,deaths,pos_log,death_log,pos_diff,death_diff,pos_diff_diff,pos_log_diff,box_cox,death_diff_diff
2020-01-23,1,0,0,-Inf,0,0,0,0,0,0
2020-01-24,2,0,0.6931471805599453,-Inf,1,0,1,0.6931471805599453,0.8370585765136728,0
2020-01-25,3,0,1.0986122886681098,-Inf,1,0,0,0.4054651081081645,1.4891467600408022,0
2020-01-26,5,0,1.6094379124341003,-Inf,2,0,1,0.5108256237659905,2.5367944423599034,0
2020-01-27,5,0,1.6094379124341003,-Inf,0,0,-2,0,2.5367944423599034,0
2020-01-28,5,0,1.6094379124341003,-Inf,0,0,0,0,2.5367944423599034,0
2020-01-29,5,0,1.6094379124341003,-Inf,0,0,0,0,2.5367944423599034,0
2020-01-30,6,0,1.791759469228055,-Inf,1,0,1,0.18232155679395468,2.9846508980341797,0
2020-01-31,7,0,1.9459101490553132,-Inf,1,0,0,0.15415067982725827,3.39845360018733,0
2020-02-01,8,0,2.0794415416798357,-Inf,1,0,0,0.13353139262452252,3.7851763894521975,0
2020-02-02,11,0,2.3978952727983707,-Inf,3,0,2,0.3184537311185349,4.825406477721866,0
2020-02-03,11,0,2.3978952727983707,-Inf,0,0,-3,0,4.825406477721866,0
2020-02-04,11,0,2.3978952727983707,-Inf,0,0,0,0,4.825406477721866,0
2020-02-05,12,0,2.4849066497880004,-Inf,1,0,1,0.08701137698962969,5.141411594655324,0
2020-02-06,12,0,2.4849066497880004,-Inf,0,0,-1,0,5.141411594655324,0
2020-02-07,12,0,2.4849066497880004,-Inf,0,0,0,0,5.141411594655324,0
2020-02-08,12,0,2.4849066497880004,-Inf,0,0,0,0,5.141411594655324,0
2020-02-09,12,0,2.4849066497880004,-Inf,0,0,0,0,5.141411594655324,0
2020-02-10,13,0,2.5649493574615367,-Inf,1,0,1,0.08004270767353638,5.445217239623383,0
2020-02-11,13,0,2.5649493574615367,-Inf,0,0,-1,0,5.445217239623383,0
2020-02-12,14,0,2.6390573296152584,-Inf,1,0,1,0.07410797215372167,5.738182530613438,0
2020-02-13,15,0,2.70805020110221,-Inf,1,0,0,0.06899287148695166,6.021430034156288,0
2020-02-14,15,0,2.70805020110221,-Inf,0,0,-1,0,6.021430034156288,0
2020-02-15,15,0,2.70805020110221,-Inf,0,0,0,0,6.021430034156288,0
2020-02-16,15,0,2.70805020110221,-Inf,0,0,0,0,6.021430034156288,0
2020-02-17,25,0,3.2188758248682006,-Inf,10,0,10,0.5108256237659905,8.472948245411777,0
2020-02-18,25,0,3.2188758248682006,-Inf,0,0,-10,0,8.472948245411777,0
2020-02-19,25,0,3.2188758248682006,-Inf,0,0,0,0,8.472948245411777,0
2020-02-20,27,0,3.295836866004329,-Inf,2,0,2,0.07696104113612856,8.90304717378086,0
2020-02-21,30,0,3.4011973816621555,-Inf,3,0,1,0.10536051565782634,9.520942027714069,0
2020-02-22,30,0,3.4011973816621555,-Inf,0,0,-3,0,9.520942027714069,0
2020-02-23,30,0,3.4011973816621555,-Inf,0,0,0,0,9.520942027714069,0
2020-02-24,43,0,3.7612001156935624,-Inf,13,0,13,0.3600027340314069,11.911613729205323,0
2020-02-25,45,0,3.8066624897703196,-Inf,2,0,-11,0.04546237407675724,12.247143614005587,0
2020-02-26,60,0,4.0943445622221,-Inf,15,0,13,0.2876820724517808,14.567808655035398,0
2020-02-27,60,0,4.0943445622221,-Inf,0,0,-15,0,14.567808655035398,0
2020-02-28,65,0,4.174387269895637,-Inf,5,0,5,0.08004270767353638,15.278720428039788,0
2020-02-29,70,1,4.248495242049359,0,5,1,0,0.07410797215372256,15.964265538527732,1
2020-03-01,88,3,4.477336814478207,1.0986122886681098,18,2,13,0.2288415724288475,18.25878843987597,1
2020-03-02,104,6,4.6443908991413725,1.791759469228055,16,3,-2,0.16705408466316563,20.117885814129803,1
2020-03-03,125,10,4.8283137373023015,2.302585092994046,21,4,5,0.18392283816092903,22.363676396292792,1
2020-03-04,161,12,5.081404364984463,2.4849066497880004,36,2,15,0.2530906276821616,25.833358646222766,-2
2020-03-05,228,12,5.429345628954441,2.4849066497880004,67,0,31,0.34794126396997793,31.427693091933257,-2
2020-03-06,311,15,5.739792912179234,2.70805020110221,83,3,16,0.31044728322479287,37.36549859717661,3
2020-03-07,428,19,6.059123195581797,2.9444389791664403,117,4,34,0.31933028340256264,44.57897855339293,1
2020-03-08,547,22,6.304448802421981,3.091042453358316,119,3,2,0.24532560684018456,51.00889484898621,-1
2020-03-09,748,26,6.617402977974478,3.258096538021482,201,4,82,0.3129541755524965,60.51868678341187,1
2020-03-10,1018,31,6.925595197110468,3.4339872044851463,270,5,69,0.30819221913599026,71.5530012227231,1
2020-03-11,1263,37,7.141245122350491,3.6109179126442243,245,6,-25,0.21564992524002324,80.41466783801037,1
2020-03-12,1668,43,7.419380582918692,3.7612001156935624,405,6,160,0.27813546056820115,93.44086538490475,0
2020-03-13,2224,50,7.707062655370473,3.912023005428146,556,7,151,0.2876820724517808,109.0868621081172,1
2020-03-14,2898,60,7.971776122880628,4.0943445622221,674,10,118,0.26471346751015457,125.74263315916963,3
2020-03-15,3600,68,8.1886891244442,4.219507705176107,702,8,28,0.21691300156357318,141.23803522804832,-2
2020-03-16,4507,91,8.413387022690648,4.51085950651685,907,23,205,0.22469789824644693,159.27603730972592,15
2020-03-17,5906,117,8.683724062303869,4.762173934797756,1399,26,492,0.27033703961322075,184.01558788102864,3
2020-03-18,8350,162,9.030016817844901,5.087596335232384,2444,45,1045,0.34629275554103245,221.3316937023522,19
2020-03-19,12393,212,9.424887076064874,5.356586274672012,4043,50,1599,0.39487025821997257,273.1047516299794,5
2020-03-20,18012,277,9.798793481421463,5.6240175061873385,5619,65,1576,0.37390640535658903,333.1547774463638,15
2020-03-21,24528,360,10.107570601111595,5.886104031450156,6516,83,897,0.30877711969013255,392.5126006995146,18
2020-03-22,33073,458,10.406472518522957,6.126869184114185,8545,98,2029,0.29890191741136185,459.9708164072242,15
2020-03-23,43505,579,10.680631153000125,6.361302477572996,10432,121,1887,0.2741586344771676,531.9437477585751,23
2020-03-24,53938,785,10.89559051777123,6.665683717782408,10433,206,1,0.2149593647711061,596.1358437169072,85
2020-03-25,68572,1054,11.135639567127372,6.960347729101308,14634,269,4201,0.24004904935614135,676.984789898638,63
2020-03-26,85570,1353,11.357090033412101,7.210079628170788,16998,299,2364,0.22145046628472898,761.2297175946071,30
2020-03-27,102900,1770,11.541512921822141,7.478734825567875,17330,417,332,0.1844228884100403,839.3136462078351,118
2020-03-28,123966,2300,11.727762613440863,7.7406644019172415,21066,530,3736,0.1862496916187215,926.2824841954371,113
2020-03-29,142486,2718,11.86699902825039,7.907651594711089,18520,418,-2546,0.13923641480952753,997.1224652772129,-112
2020-03-30,163955,3368,12.007347278910542,8.122074375362217,21469,650,2949,0.14034825066015166,1074.0007748189294,232
